id,slug,year,shadow,details
13,lander-lil,1985,0.0,
13,lander-lil,1986,0.0,
13,lander-lil,1987,0.0,
13,lander-lil,1988,,
13,lander-lil,1989,,
13,lander-lil,1990,,
13,lander-lil,1991,,
13,lander-lil,1992,,
13,lander-lil,1993,,
13,lander-lil,1994,1.0,
13,lander-lil,1995,,
13,lander-lil,1996,,
13,lander-lil,1997,0.0,
13,lander-lil,1998,,
13,lander-lil,1999,0.0,
13,lander-lil,2000,1.0,
13,lander-lil,2001,,
13,lander-lil,2002,,
13,lander-lil,2003,,
13,lander-lil,2004,,
13,lander-lil,2005,1.0,
13,lander-lil,2006,1.0,
13,lander-lil,2007,0.0,
13,lander-lil,2008,0.0,
13,lander-lil,2009,1.0,
13,lander-lil,2010,0.0,
13,lander-lil,2011,0.0,
13,lander-lil,2012,0.0,
13,lander-lil,2013,1.0,
13,lander-lil,2014,1.0,
13,lander-lil,2015,0.0,
13,lander-lil,2016,0.0,
13,lander-lil,2017,0.0,
13,lander-lil,2018,0.0,
13,lander-lil,2019,1.0,
13,lander-lil,2020,1.0,
13,lander-lil,2021,1.0,
13,lander-lil,2022,0.0,
13,lander-lil,2023,1.0,
13,lander-lil,2024,0.0,
